Rating,TrainID,Segmentation,Goal,HealthLimit,Tire,Time,Quant,Type,BodyPart,Equipment,Level
6,1,2,1,9,1,44,0,4,1,0,2
2,1,1,1,0,5,48,3,4,1,0,2
3,1,0,0,17,1,102,10,4,1,0,2
8,1,2,0,15,4,42,1,4,1,0,2
5,1,2,0,0,1,71,3,4,1,0,2
7,1,0,2,0,5,45,1,4,1,0,2
9,1,1,0,0,1,105,7,4,1,0,2
10,1,0,2,0,2,62,6,4,1,0,2
2,1,0,2,0,5,17,2,4,1,0,2
7,1,2,2,0,4,13,0,4,1,0,2
1,1,0,1,0,4,79,4,4,1,0,2
7,1,2,1,4,4,31,1,4,1,0,2
7,1,1,0,0,5,97,6,4,1,0,2
8,1,0,1,0,3,48,2,4,1,0,2
9,1,1,1,5,1,15,0,4,1,0,2
2,1,0,2,0,3,70,6,4,1,0,2
5,1,1,2,0,4,91,9,4,1,0,2
3,1,1,2,0,3,18,0,4,1,0,2
6,2,2,1,0,5,15,0,4,1,0,2
8,2,0,2,0,0,117,6,4,1,0,2
7,2,0,2,0,3,94,9,4,1,0,2
4,2,1,2,0,3,83,3,4,1,0,2
6,2,1,0,0,1,99,10,4,1,0,2
5,2,1,2,0,2,15,0,4,1,0,2
8,2,1,2,0,0,57,4,4,1,0,2
8,2,2,2,0,4,61,4,4,1,0,2
9,2,2,2,0,2,31,3,4,1,0,2
7,2,2,0,16,2,33,2,4,1,0,2
6,2,1,0,16,4,65,4,4,1,0,2
2,2,0,2,0,0,3,1,4,1,0,2
9,2,1,1,0,1,105,7,4,1,0,2
2,2,1,2,3,3,20,1,4,1,0,2
9,2,1,1,0,0,111,10,4,1,0,2
3,2,0,0,0,5,117,10,4,1,0,2
4,2,1,2,0,2,62,4,4,1,0,2
2,2,1,0,0,0,25,2,4,1,0,2
5,2,1,0,0,1,103,7,4,1,0,2
10,2,1,2,0,1,45,0,4,1,0,2
1,2,0,2,0,1,47,3,4,1,0,2
7,2,0,0,0,0,16,0,4,1,0,2
5,2,1,2,0,1,9,0,4,1,0,2
5,2,1,0,6,3,51,3,4,1,0,2
3,2,1,2,0,5,48,1,4,1,0,2
1,2,1,2,0,0,90,9,4,1,0,2
3,2,1,0,0,0,103,10,4,1,0,2
1,2,0,1,0,0,52,6,4,1,0,2
6,2,1,0,0,3,53,4,4,1,0,2
8,2,1,1,0,3,7,3,4,1,0,2
7,2,2,0,0,2,58,6,4,1,0,2
3,2,0,1,0,5,53,4,4,1,0,2
9,2,0,1,0,2,9,0,4,1,0,2
7,2,0,2,0,2,56,4,4,1,0,2
6,2,1,1,0,2,51,3,4,1,0,2
10,2,1,1,0,0,11,0,4,1,0,2
4,2,0,2,0,2,35,0,4,1,0,2
5,2,2,0,0,3,100,7,4,1,0,2
9,2,2,2,0,4,61,4,4,1,0,2
5,2,0,0,0,3,9,3,4,1,0,2
4,3,2,1,0,2,61,4,4,1,0,2
6,3,2,2,0,0,118,7,4,1,0,2
7,3,0,0,0,1,31,1,4,1,0,2
3,3,1,1,4,4,108,8,4,1,0,2
9,3,0,0,0,2,5,0,4,1,0,2
1,3,1,2,0,1,5,0,4,1,0,2
2,3,2,1,0,0,20,0,4,1,0,2
6,3,1,2,0,0,30,1,4,1,0,2
5,3,0,2,12,3,104,8,4,1,0,2
6,3,1,0,0,5,84,6,4,1,0,2
2,3,2,0,0,3,71,4,4,1,0,2
3,3,2,1,0,1,0,10,4,1,0,2
2,3,0,2,0,1,81,3,4,1,0,2
7,3,0,2,0,4,83,5,4,1,0,2
10,3,2,2,8,4,52,4,4,1,0,2
8,3,2,2,3,0,120,10,4,1,0,2
5,3,1,1,0,3,15,2,4,1,0,2
5,3,2,0,0,2,76,5,4,1,0,2
10,3,2,1,0,0,25,1,4,1,0,2
7,3,1,0,0,5,42,3,4,1,0,2
6,3,1,1,0,5,45,3,4,1,0,2
3,3,0,1,0,3,82,5,4,1,0,2
10,3,2,2,0,1,50,10,4,1,0,2
3,3,0,1,0,5,113,6,4,1,0,2
2,3,1,2,0,5,42,1,4,1,0,2
9,3,2,1,0,4,31,3,4,1,0,2
10,3,1,1,0,1,11,0,4,1,0,2
10,3,1,0,13,3,113,7,4,1,0,2
4,3,2,2,0,0,3,3,4,1,0,2
5,3,0,1,0,1,11,2,4,1,0,2
1,3,2,2,0,3,99,9,4,1,0,2
5,3,1,0,0,0,108,8,4,1,0,2
7,3,1,2,0,4,74,4,4,1,0,2
9,3,1,1,0,0,33,1,4,1,0,2
2,3,1,1,4,3,1,3,4,1,0,2
8,3,2,1,0,1,57,6,4,1,0,2
10,3,0,1,0,4,114,6,4,1,0,2
2,3,2,2,10,1,58,3,4,1,0,2
4,3,2,1,0,1,36,1,4,1,0,2
5,3,2,0,0,1,24,1,4,1,0,2
8,4,2,2,0,3,69,6,4,1,0,2
8,4,0,1,6,2,30,3,4,1,0,2
5,4,0,2,0,0,67,4,4,1,0,2
2,4,1,2,0,0,68,4,4,1,0,2
8,4,2,1,0,1,67,3,4,1,0,2
6,4,1,0,0,3,34,0,4,1,0,2
3,4,0,0,0,1,10,0,4,1,0,2
1,4,1,0,0,5,10,0,4,1,0,2
10,4,2,1,0,1,107,8,4,1,0,2
8,4,0,2,0,4,55,3,4,1,0,2
1,4,2,2,0,1,96,6,4,1,0,2
1,4,1,1,0,4,114,8,4,1,0,2
8,4,0,0,0,0,97,7,4,1,0,2
9,4,2,1,0,5,29,3,4,1,0,2
6,4,1,0,0,3,79,5,4,1,0,2
9,4,0,2,2,2,80,3,4,1,0,2
10,4,0,0,1,1,43,2,4,1,0,2
7,4,0,2,0,2,96,8,4,1,0,2
3,4,1,1,0,3,98,10,4,1,0,2
3,4,0,1,0,3,33,2,4,1,0,2
7,4,0,0,0,3,92,10,4,1,0,2
5,4,1,2,0,3,90,6,4,1,0,2
9,4,0,1,0,5,72,5,4,1,0,2
8,4,1,2,5,0,119,9,4,1,0,2
3,4,0,2,0,4,86,4,4,1,0,2
5,4,2,2,17,2,74,3,4,1,0,2
7,4,1,2,0,3,64,6,4,1,0,2
9,4,0,0,0,1,71,6,4,1,0,2
9,4,1,0,0,3,81,5,4,1,0,2
10,4,1,1,0,1,20,0,4,1,0,2
9,4,0,2,0,0,2,0,4,1,0,2
9,4,0,1,16,5,50,10,4,1,0,2
8,4,0,2,0,0,100,6,4,1,0,2
10,4,2,0,0,2,120,10,4,1,0,2
4,4,1,0,5,2,43,1,4,1,0,2
7,4,2,2,0,2,27,3,4,1,0,2
9,4,0,1,0,1,68,3,4,1,0,2
4,4,2,2,0,4,1,0,4,1,0,2
1,4,2,1,0,0,106,6,4,1,0,2
2,4,0,0,0,5,24,0,4,1,0,2
3,5,2,2,0,3,107,7,4,1,0,2
6,5,0,0,0,1,11,0,4,1,0,2
1,5,0,2,0,1,119,9,4,1,0,2
8,5,2,2,0,3,4,2,4,1,0,2
6,5,0,0,1,5,53,3,4,1,0,2
7,5,2,2,0,0,16,3,4,1,0,2
9,5,0,0,0,4,100,7,4,1,0,2
10,5,0,1,0,4,25,0,4,1,0,2
10,5,0,1,0,1,36,0,4,1,0,2
8,5,2,0,0,5,32,1,4,1,0,2
8,5,2,2,0,2,45,0,4,1,0,2
2,5,1,1,0,2,113,7,4,1,0,2
9,5,0,2,0,0,11,0,4,1,0,2
5,5,2,2,0,3,25,3,4,1,0,2
7,5,2,1,0,2,118,9,4,1,0,2
9,5,1,2,9,1,76,5,4,1,0,2
3,5,0,1,0,4,64,3,4,1,0,2
1,5,0,1,0,4,18,0,4,1,0,2
9,5,2,2,0,1,33,1,4,1,0,2
3,5,2,1,0,4,50,7,4,1,0,2
4,5,1,2,0,0,60,3,4,1,0,2
9,5,1,1,0,1,74,6,4,1,0,2
1,5,1,2,0,1,14,2,4,1,0,2
6,5,2,0,13,3,44,3,4,1,0,2
7,5,2,2,0,2,87,3,4,1,0,2
2,5,0,1,0,2,9,3,4,1,0,2
10,5,0,2,0,2,90,9,4,1,0,2
9,5,2,2,0,2,9,1,4,1,0,2
9,5,1,2,0,3,16,3,4,1,0,2
2,5,0,0,0,5,13,3,4,1,0,2
6,5,1,0,0,2,81,6,4,1,0,2
7,5,0,0,0,1,29,3,4,1,0,2
5,5,2,0,0,1,99,10,4,1,0,2
6,5,0,0,0,0,57,4,4,1,0,2
3,5,0,1,7,0,92,10,4,1,0,2
8,5,0,0,2,3,37,0,4,1,0,2
6,5,1,0,0,0,81,6,4,1,0,2
2,5,2,1,0,2,75,3,4,1,0,2
9,5,0,0,0,5,87,6,4,1,0,2
10,5,1,2,0,1,94,6,4,1,0,2
6,6,1,2,0,4,37,3,4,1,0,2
8,6,2,1,0,0,94,10,4,1,0,2
6,6,2,0,0,0,102,9,4,1,0,2
7,6,1,1,8,0,83,6,4,1,0,2
3,6,1,2,16,4,107,6,4,1,0,2
4,6,1,1,3,3,18,1,4,1,0,2
10,6,2,2,5,2,85,4,4,1,0,2
7,6,0,1,13,4,9,3,4,1,0,2
8,6,0,0,0,2,38,0,4,1,0,2
5,6,0,2,0,0,25,0,4,1,0,2
6,6,0,1,0,0,17,3,4,1,0,2
5,6,1,2,0,4,21,2,4,1,0,2
1,6,1,0,0,4,13,0,4,1,0,2
6,6,2,2,0,4,14,2,4,1,0,2
8,6,2,2,0,2,31,1,4,1,0,2
5,6,1,1,0,4,30,3,4,1,0,2
1,6,0,0,0,1,114,10,4,1,0,2
6,6,1,1,0,2,62,4,4,1,0,2
6,6,1,1,0,1,76,4,4,1,0,2
5,6,0,1,0,1,30,1,4,1,0,2
2,6,1,1,17,1,89,5,4,1,0,2
10,6,0,1,0,5,80,6,4,1,0,2
1,6,0,1,0,5,78,6,4,1,0,2
7,6,1,2,0,2,46,0,4,1,0,2
7,6,1,1,0,4,61,5,4,1,0,2
9,6,1,1,0,0,59,5,4,1,0,2
8,6,2,0,0,2,112,7,4,1,0,2
10,6,2,1,2,3,90,8,4,1,0,2
8,6,0,1,0,1,19,0,4,1,0,2
9,6,1,0,8,2,58,3,4,1,0,2
1,6,0,2,0,4,37,1,4,1,0,2
6,6,2,2,0,4,38,2,4,1,0,2
10,6,1,2,0,5,5,3,4,1,0,2
5,6,1,1,0,5,40,0,4,1,0,2
8,6,1,2,0,0,89,3,4,1,0,2
1,6,0,1,0,5,52,5,4,1,0,2
8,6,2,1,0,0,54,6,4,1,0,2
7,6,1,1,8,5,12,2,4,1,0,2
4,6,0,0,7,3,48,1,4,1,0,2
9,6,2,2,0,3,30,0,4,1,0,2
7,7,0,2,0,4,70,3,4,1,0,2
2,7,0,2,0,1,65,4,4,1,0,2
4,7,2,0,5,4,29,2,4,1,0,2
6,7,2,2,13,3,26,1,4,1,0,2
10,7,2,2,13,2,108,7,4,1,0,2
5,7,2,1,0,0,96,9,4,1,0,2
3,7,2,0,12,5,90,7,4,1,0,2
8,7,1,0,0,5,8,1,4,1,0,2
2,7,2,0,0,0,26,3,4,1,0,2
9,7,1,0,0,0,61,6,4,1,0,2
9,7,0,2,0,0,45,2,4,1,0,2
1,7,0,1,0,3,74,5,4,1,0,2
3,7,0,0,0,3,113,9,4,1,0,2
9,7,2,0,0,5,98,10,4,1,0,2
1,7,2,1,0,1,64,6,4,1,0,2
8,7,2,0,0,3,49,2,4,1,0,2
4,7,1,1,0,2,8,1,4,1,0,2
5,7,0,0,3,5,24,2,4,1,0,2
8,7,1,2,4,4,110,10,4,1,0,2
1,7,1,1,0,0,71,4,4,1,0,2
10,7,1,0,0,4,97,7,4,1,0,2
6,7,0,0,10,1,79,3,4,1,0,2
1,7,2,0,0,1,23,3,4,1,0,2
8,7,1,2,13,5,7,0,4,1,0,2
2,7,2,0,0,1,85,3,4,1,0,2
6,7,2,0,0,0,79,5,4,1,0,2
9,7,2,2,0,3,64,4,4,1,0,2
4,7,2,1,0,3,86,6,4,1,0,2
1,7,2,0,0,5,74,4,4,1,0,2
3,7,1,0,0,4,91,9,4,1,0,2
5,7,1,1,0,0,86,5,4,1,0,2
7,7,2,1,0,0,68,3,4,1,0,2
2,7,0,0,0,4,37,2,4,1,0,2
2,7,0,0,0,2,100,8,4,1,0,2
3,7,2,1,0,4,77,4,4,1,0,2
7,7,2,1,0,2,54,3,4,1,0,2
2,7,1,1,0,3,16,1,4,1,0,2
10,7,2,1,12,5,79,5,4,1,0,2
3,7,1,1,0,1,67,6,4,1,0,2
2,7,0,2,8,1,68,4,4,1,0,2
5,8,0,0,0,2,51,4,4,1,1,2
2,8,0,2,0,5,37,0,4,1,1,2
4,8,1,1,0,5,17,3,4,1,1,2
3,8,2,1,0,3,76,4,4,1,1,2
5,8,0,1,0,5,80,4,4,1,1,2
8,8,1,0,4,2,79,5,4,1,1,2
1,8,2,2,0,1,112,8,4,1,1,2
3,8,2,0,6,5,10,2,4,1,1,2
1,8,2,1,0,3,16,3,4,1,1,2
6,8,1,1,0,4,74,6,4,1,1,2
10,8,2,0,0,3,1,0,4,1,1,2
9,8,2,1,0,0,115,9,4,1,1,2
8,8,2,1,0,5,47,2,4,1,1,2
5,8,1,2,0,0,114,7,4,1,1,2
6,8,2,0,0,2,17,1,4,1,1,2
2,8,1,2,0,3,68,4,4,1,1,2
7,8,1,1,0,5,69,3,4,1,1,2
3,8,1,2,0,3,73,5,4,1,1,2
5,8,1,1,1,2,84,5,4,1,1,2
2,8,2,2,0,0,1,0,4,1,1,2
9,8,2,1,0,5,52,4,4,1,1,2
6,8,2,1,0,0,90,7,4,1,1,2
4,8,2,1,0,2,72,6,4,1,1,2
4,8,0,2,0,5,30,0,4,1,1,2
8,8,0,2,9,5,105,6,4,1,1,2
7,8,1,0,0,0,110,6,4,1,1,2
2,8,2,0,4,0,37,2,4,1,1,2
1,8,2,1,0,3,7,2,4,1,1,2
1,8,1,1,0,0,9,3,4,1,1,2
4,8,2,0,0,2,10,3,4,1,1,2
7,8,0,1,0,1,118,10,4,1,1,2
4,8,0,1,0,0,74,6,4,1,1,2
7,8,2,1,6,2,105,9,4,1,1,2
4,8,1,1,4,5,53,4,4,1,1,2
9,8,1,0,0,2,53,6,4,1,1,2
2,8,1,1,0,5,28,0,4,1,1,2
4,8,1,0,0,3,96,6,4,1,1,2
4,8,0,0,0,3,73,3,4,1,1,2
8,8,2,1,0,0,0,8,4,1,1,2
9,8,0,2,0,2,21,0,4,1,1,2
2,9,1,1,0,4,117,6,4,1,1,2
4,9,2,2,0,2,45,2,4,1,1,2
8,9,0,0,0,2,8,2,4,1,1,2
1,9,1,2,0,5,25,1,4,1,1,2
8,9,2,2,0,1,60,6,4,1,1,2
7,9,1,0,0,5,103,7,4,1,1,2
4,9,0,0,0,5,71,6,4,1,1,2
4,9,0,2,0,2,44,0,4,1,1,2
1,9,0,2,0,2,61,4,4,1,1,2
8,9,2,0,0,0,39,0,4,1,1,2
1,9,0,2,0,4,92,6,4,1,1,2
3,9,2,1,0,5,12,1,4,1,1,2
3,9,1,1,0,4,52,5,4,1,1,2
9,9,2,1,0,5,93,6,4,1,1,2
6,9,0,0,16,2,63,6,4,1,1,2
3,9,2,2,0,1,37,1,4,1,1,2
1,9,0,2,0,3,36,0,4,1,1,2
10,9,1,1,0,0,55,5,4,1,1,2
8,9,2,2,0,0,67,5,4,1,1,2
7,9,1,1,0,3,33,2,4,1,1,2
2,9,1,2,0,3,79,3,4,1,1,2
6,9,1,1,0,0,69,4,4,1,1,2
3,9,0,1,0,4,29,1,4,1,1,2
9,9,0,1,3,3,40,0,4,1,1,2
8,9,2,2,0,4,14,1,4,1,1,2
10,9,2,0,5,0,71,6,4,1,1,2
4,9,1,2,0,0,102,10,4,1,1,2
7,9,2,1,0,4,20,0,4,1,1,2
10,9,2,2,0,0,27,2,4,1,1,2
3,9,0,1,0,2,107,7,4,1,1,2
3,9,2,1,0,4,26,2,4,1,1,2
3,9,1,0,0,3,5,3,4,1,1,2
9,9,2,2,0,0,20,0,4,1,1,2
2,9,0,1,0,2,115,7,4,1,1,2
2,9,1,1,0,1,47,0,4,1,1,2
2,9,0,1,0,5,69,6,4,1,1,2
2,9,2,2,0,0,31,1,4,1,1,2
2,9,0,2,0,5,106,9,4,1,1,2
5,9,1,1,0,4,73,5,4,1,1,2
4,9,0,2,0,2,63,6,4,1,1,2
1,10,0,2,0,3,64,5,4,1,1,2
3,10,0,0,0,5,19,0,4,1,1,2
7,10,1,1,0,4,21,2,4,1,1,2
7,10,1,0,11,4,33,3,4,1,1,2
9,10,2,1,0,0,111,10,4,1,1,2
2,10,0,2,0,5,55,5,4,1,1,2
10,10,2,0,14,2,86,6,4,1,1,2
5,10,1,2,0,3,98,9,4,1,1,2
1,10,0,2,7,1,19,3,4,1,1,2
5,10,0,0,0,1,53,6,4,1,1,2
8,10,0,0,0,4,47,1,4,1,1,2
7,10,1,1,0,4,71,6,4,1,1,2
9,10,2,1,0,3,62,6,4,1,1,2
1,10,0,2,0,5,109,10,4,1,1,2
10,10,2,1,0,3,19,0,4,1,1,2
10,10,0,2,17,5,107,10,4,1,1,2
5,10,2,1,0,2,39,2,4,1,1,2
10,10,0,1,0,4,54,5,4,1,1,2
4,10,0,1,0,5,92,6,4,1,1,2
10,10,1,2,0,2,52,3,4,1,1,2
6,10,0,0,0,0,40,0,4,1,1,2
7,10,1,0,0,2,92,10,4,1,1,2
1,10,2,2,5,2,54,5,4,1,1,2
6,10,1,1,0,3,67,3,4,1,1,2
5,10,0,1,0,2,35,2,4,1,1,2
2,10,2,1,0,3,74,3,4,1,1,2
9,10,2,1,5,1,114,7,4,1,1,2
10,10,0,1,0,0,95,8,4,1,1,2
4,10,1,0,12,5,74,4,4,1,1,2
3,10,0,0,0,0,88,5,4,1,1,2
9,10,1,1,0,3,47,3,4,1,1,2
8,10,1,0,0,5,106,10,4,1,1,2
10,10,0,1,0,5,5,3,4,1,1,2
7,10,2,0,0,0,65,6,4,1,1,2
4,10,0,0,0,2,30,0,4,1,1,2
3,10,2,1,10,2,71,5,4,1,1,2
4,10,1,1,0,2,39,3,4,1,1,2
3,10,0,1,0,0,11,1,4,1,1,2
3,10,2,2,0,1,27,3,4,1,1,2
6,10,0,2,0,1,61,5,4,1,1,2
5,11,1,2,0,1,118,9,4,1,1,0
9,11,0,0,0,0,99,9,4,1,1,0
6,11,1,2,0,1,104,8,4,1,1,0
8,11,0,1,9,0,72,6,4,1,1,0
6,11,1,2,0,2,81,4,4,1,1,0
4,11,1,2,0,2,47,0,4,1,1,0
5,11,0,2,0,0,69,6,4,1,1,0
1,11,0,2,0,3,47,2,4,1,1,0
5,11,2,2,5,5,15,3,4,1,1,0
10,11,1,0,0,0,60,4,4,1,1,0
2,11,0,2,5,1,62,3,4,1,1,0
10,11,2,0,0,4,30,3,4,1,1,0
4,11,2,2,0,0,88,4,4,1,1,0
8,11,1,0,0,4,49,3,4,1,1,0
4,11,2,1,0,0,118,7,4,1,1,0
7,11,2,2,0,0,53,6,4,1,1,0
2,11,1,1,0,4,40,1,4,1,1,0
9,11,1,2,0,2,2,0,4,1,1,0
3,11,2,0,0,4,41,1,4,1,1,0
3,11,1,2,0,1,60,6,4,1,1,0
8,11,0,0,0,4,18,0,4,1,1,0
2,11,1,1,0,0,67,6,4,1,1,0
1,11,0,1,0,5,84,4,4,1,1,0
6,11,0,1,0,2,58,6,4,1,1,0
6,11,2,0,0,2,59,5,4,1,1,0
2,11,1,1,0,5,69,6,4,1,1,0
10,11,1,2,0,5,69,6,4,1,1,0
3,11,1,1,0,5,10,0,4,1,1,0
6,11,1,1,0,1,58,3,4,1,1,0
6,11,0,2,4,3,7,2,4,1,1,0
4,11,2,1,5,4,5,2,4,1,1,0
4,11,2,2,0,0,70,4,4,1,1,0
7,11,1,0,0,3,15,3,4,1,1,0
8,11,0,1,0,4,20,2,4,1,1,0
5,11,2,0,0,0,96,7,4,1,1,0
4,11,0,1,0,5,109,10,4,1,1,0
4,11,2,2,14,2,95,10,4,1,1,0
8,11,1,0,8,4,19,1,4,1,1,0
1,11,1,0,0,4,106,7,4,1,1,0
3,11,2,1,14,0,92,6,4,1,1,0
2,12,1,2,0,3,43,2,4,1,1,0
3,12,0,1,0,4,72,5,4,1,1,0
3,12,1,0,7,3,32,2,4,1,1,0
6,12,2,2,0,2,61,4,4,1,1,0
3,12,2,2,0,1,6,1,4,1,1,0
5,12,1,0,0,0,112,10,4,1,1,0
1,12,2,0,0,2,60,6,4,1,1,0
1,12,2,1,0,4,3,1,4,1,1,0
3,12,1,0,0,5,66,5,4,1,1,0
8,12,1,0,0,1,50,8,4,1,1,0
1,12,0,0,0,5,57,3,4,1,1,0
10,12,2,1,14,1,9,1,4,1,1,0
5,12,2,0,0,1,51,3,4,1,1,0
6,12,2,2,0,3,75,3,4,1,1,0
7,12,2,1,0,2,104,9,4,1,1,0
9,12,2,1,0,1,45,2,4,1,1,0
4,12,0,1,0,5,19,2,4,1,1,0
10,12,1,1,0,3,116,8,4,1,1,0
4,12,2,0,0,0,106,7,4,1,1,0
6,12,2,2,2,2,67,4,4,1,1,0
1,12,2,2,0,3,101,9,4,1,1,0
5,12,1,2,0,1,21,3,4,1,1,0
10,12,1,2,0,0,40,1,4,1,1,0
9,12,1,2,0,5,100,9,4,1,1,0
1,12,2,0,0,0,12,0,4,1,1,0
1,12,2,1,0,0,35,1,4,1,1,0
5,12,0,1,0,1,103,8,4,1,1,0
6,12,1,0,0,4,65,5,4,1,1,0
3,12,0,0,0,4,87,5,4,1,1,0
3,12,1,2,0,1,63,3,4,1,1,0
1,12,0,2,0,1,19,2,4,1,1,0
9,12,2,1,0,2,116,10,4,1,1,0
3,12,0,0,0,4,105,10,4,1,1,0
6,12,2,1,0,0,36,1,4,1,1,0
2,12,1,0,14,2,67,6,4,1,1,0
9,12,2,0,0,2,80,6,4,1,1,0
6,12,2,0,14,4,113,7,4,1,1,0
5,12,2,1,0,1,116,6,4,1,1,0
4,12,1,1,0,1,103,9,4,1,1,0
3,12,0,0,0,5,66,4,4,1,1,0
10,13,0,0,0,0,35,0,4,1,1,2
9,13,2,2,11,0,96,9,4,1,1,2
2,13,0,0,0,5,1,1,4,1,1,2
3,13,2,0,10,0,116,8,4,1,1,2
8,13,2,0,0,2,91,8,4,1,1,2
10,13,2,0,0,5,62,6,4,1,1,2
7,13,0,0,0,5,79,4,4,1,1,2
5,13,2,2,0,0,83,5,4,1,1,2
8,13,1,2,0,3,118,7,4,1,1,2
10,13,2,0,0,3,76,6,4,1,1,2
9,13,1,0,0,0,65,6,4,1,1,2
4,13,2,1,0,1,76,4,4,1,1,2
7,13,1,2,3,3,60,5,4,1,1,2
1,13,2,1,0,3,40,2,4,1,1,2
7,13,0,1,0,2,9,0,4,1,1,2
7,13,1,0,0,0,108,6,4,1,1,2
9,13,1,1,4,5,78,6,4,1,1,2
2,13,2,1,0,0,33,0,4,1,1,2
8,13,1,2,0,1,20,1,4,1,1,2
7,13,2,2,0,2,32,1,4,1,1,2
3,13,2,0,0,0,17,3,4,1,1,2
3,13,2,1,11,5,54,6,4,1,1,2
5,13,2,0,0,0,15,0,4,1,1,2
6,13,1,0,0,3,9,2,4,1,1,2
7,13,2,1,0,0,45,2,4,1,1,2
8,13,0,2,0,0,90,6,4,1,1,2
4,13,1,2,0,3,60,6,4,1,1,2
10,13,1,2,0,3,38,3,4,1,1,2
4,13,0,2,0,4,14,2,4,1,1,2
4,13,2,0,0,5,67,5,4,1,1,2
3,13,1,2,0,3,99,6,4,1,1,2
5,13,1,0,0,0,50,9,4,1,1,2
5,13,1,1,0,5,23,3,4,1,1,2
4,13,0,1,0,5,34,0,4,1,1,2
2,13,0,0,0,2,116,9,4,1,1,2
1,13,1,2,0,2,93,7,4,1,1,2
2,13,0,0,0,3,105,9,4,1,1,2
10,13,2,0,6,0,103,10,4,1,1,2
4,13,0,1,0,3,15,1,4,1,1,2
2,13,2,0,0,2,79,3,4,1,1,2
9,14,0,1,0,3,25,1,4,1,1,2
8,14,0,2,0,5,10,3,4,1,1,2
9,14,2,1,0,0,93,9,4,1,1,2
7,14,1,1,0,0,94,6,4,1,1,2
8,14,1,1,0,2,6,2,4,1,1,2
1,14,1,1,0,0,57,3,4,1,1,2
1,14,2,2,0,4,114,6,4,1,1,2
3,14,0,2,0,3,119,6,4,1,1,2
9,14,2,1,0,1,25,2,4,1,1,2
6,14,1,1,0,1,31,2,4,1,1,2
6,14,0,2,0,3,100,6,4,1,1,2
2,14,0,2,0,4,55,5,4,1,1,2
2,14,2,0,0,5,26,3,4,1,1,2
10,14,2,1,0,5,18,3,4,1,1,2
1,14,2,2,0,1,105,10,4,1,1,2
4,14,0,1,0,3,16,2,4,1,1,2
1,14,0,2,0,0,47,3,4,1,1,2
3,14,2,2,0,2,79,6,4,1,1,2
